ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
71522,Dietmar Lorenz,M,26.0,180.0,93.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Heavyweight,
71522,Dietmar Lorenz,M,26.0,180.0,93.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Open Class,
71522,Dietmar Lorenz,M,30.0,180.0,93.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Heavyweight,Bronze
71522,Dietmar Lorenz,M,30.0,180.0,93.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Open Class,Gold
71544,Francisco Lorenzo Aparicio,M,32.0,,,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Lightweight,
71676,Aniya Necol Louissaint,F,17.0,176.0,59.0,Haiti,HAI,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Welterweight,
71693,Anis Lounifi,M,22.0,168.0,66.0,Tunisia,TUN,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Lightweight,
71693,Anis Lounifi,M,26.0,168.0,66.0,Tunisia,TUN,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Extra-Lightweight,
71698,Denilson Loureno,M,23.0,163.0,63.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Extra-Lightweight,
71698,Denilson Loureno,M,31.0,163.0,63.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Extra-Lightweight,
71701,Virginia Alexandrina Lourens,F,25.0,162.0,56.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Women's Featherweight,
71889,Micha oniewski,M,23.0,177.0,67.0,Poland,POL,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Featherweight,
72026,Emmanuel Lucenti,M,23.0,180.0,81.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,
72026,Emmanuel Lucenti,M,27.0,180.0,81.0,Argentina,ARG,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Middleweight,
72026,Emmanuel Lucenti,M,31.0,180.0,81.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,
72027,Daniel Rodrigo Lucenti,M,26.0,170.0,73.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Lightweight,
72092,Rui Joo Marques Ludovino,M,25.0,168.0,59.0,Portugal,POR,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Extra-Lightweight,
72124,Jorge Lugo Lugo,M,26.0,168.0,78.0,Venezuela,VEN,1964 Summer,1964,Summer,Tokyo,Judo,Judo Men's Middleweight,
72195,Nevena Lukic,F,22.0,164.0,49.0,Austria,AUT,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Flyweight,
72214,Erin Marc Kwai-lin Lum,F,15.0,,,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Middleweight,
72227,Diadenys Luna Castellanos,F,20.0,171.0,78.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Half-Heavyweight,Bronze
72227,Diadenys Luna Castellanos,F,25.0,171.0,78.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Heavyweight,
72234,Manuel Luna,M,30.0,168.0,63.0,Venezuela,VEN,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Lightweight,
72372,Alexandru Lungu,M,21.0,,,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Heavyweight,
72391,Luo Wei,F,21.0,180.0,67.0,China,CHN,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Welterweight,Gold
72417,Yurisleidy Lupetey Cobas,F,23.0,162.0,57.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Lightweight,Bronze
72417,Yurisleidy Lupetey Cobas,F,27.0,162.0,57.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Lightweight,
72417,Yurisleidy Lupetey Cobas,F,31.0,162.0,57.0,Cuba,CUB,2012 Summer,2012,Summer,London,Judo,Judo Women's Lightweight,
72422,Nathalie Lupino,F,29.0,170.0,80.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Heavyweight,Bronze
72471,Liudmyla Yurivna Lusnikova,F,18.0,158.0,48.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Extra-Lightweight,
72471,Liudmyla Yurivna Lusnikova,F,26.0,158.0,48.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Extra-Lightweight,
72539,Luvsansharavyn Rentsendorj,M,26.0,174.0,86.0,Mongolia,MGL,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Heavyweight,
72539,Luvsansharavyn Rentsendorj,M,26.0,174.0,86.0,Mongolia,MGL,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Open Class,
72666,Paul Michael Lyons,M,31.0,164.0,57.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Flyweight,
72717,Ma Duanbin,M,26.0,174.0,66.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,
72756,Ma Yingnan,F,32.0,158.0,52.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,
72764,Abdelhak Maach,M,,175.0,,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,
72765,Mohamed Maach,M,26.0,178.0,78.0,Morocco,MAR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,
72817,Ryo Mabuchi,M,23.0,167.0,60.0,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Diving,Diving Men's Springboard,
72817,Ryo Mabuchi,M,23.0,167.0,60.0,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Diving,Diving Men's Platform,
72817,Ryo Mabuchi,M,27.0,167.0,60.0,Japan,JPN,1960 Summer,1960,Summer,Roma,Diving,Diving Men's Platform,
72818,Satoko Mabuchi,F,26.0,163.0,67.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Gold
72819,Yoshino Mabuchi,F,18.0,162.0,46.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Women's Platform,
72961,Fumihiko Machida,M,23.0,172.0,70.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Men's Singles,
72961,Fumihiko Machida,M,23.0,172.0,70.0,Japan-1,JPN,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Men's Doubles,
